[-0.004130641486562725, 0.016822454780363261]
[-0.004130641486562725, 0.016822454780363261]
[-0.004130641486562725, 0.016822454780363261]
[-0.004130641486562725, 0.016822454780363261]
[-0.004130641486562725, 0.016822454780363261]
[-0.006975733608708623, 0.013353862080031975]
[0.0015071141207643191, 0.0094515789701885566]
[0.0015071141207643191, 0.0094515789701885566]
[0.0015071141207643191, 0.0094515789701885566]
[0.0015071141207643191, 0.0094515789701885566]
[0.0013101958298720184, 0.0086998771517021734]
[0.0013101958298720184, 0.0086998771517021734]
[0.0027789520687437896, 0.0066882162080226237]
[0.0030401686773611214, 0.007469008476966188]
[0.0013101958298720184, 0.0086998771517021734]
[0.0015071141207643191, 0.0094515789701885566]
[0.0015071141207643191, 0.0094515789701885566]
[0.004877328938111436, 0.011477741312806655]
[0.004938651302354824, 0.013956931509222947]
[0.004938651302354824, 0.013956931509222947]
[0.004938651302354824, 0.013956931509222947]
[0.004938651302354824, 0.013956931509222947]
[0.0050480896262412589, 0.014855888385680638]
[0.0037624107012272923, 0.0097566851196571047]
[0.0037624107012272923, 0.0097566851196571047]
[0.0039680590645079228, 0.010518479751321141]
[0.0037624107012272923, 0.0097566851196571047]
[0.0037624107012272923, 0.0097566851196571047]
[0.0037624107012272923, 0.0097566851196571047]
[0.0057151286351457831, 0.0095904737191738754]
[0.0057151286351457831, 0.0095904737191738754]
[0.0057151286351457831, 0.0095904737191738754]
[0.004796946685424297, 0.012980271461316528]
[0.0065552299601940867, 0.012082395362735365]
[0.0028134668351709191, 0.012789259164315281]
[0.0005779311944995591, 0.012664059580108411]
[-0.0041392166369467187, 0.017272700093906135]
[-4.3560674070075578e-06, 0.011862174737981013]
[-3.3273248770004926e-05, 0.012323530484823042]
[-3.3273248770004926e-05, 0.012323530484823042]
[0.001745648721656945, 0.010966567270831451]
[0.001745648721656945, 0.010966567270831451]
[0.002167720679057128, 0.010311320574501792]
[0.002167720679057128, 0.010311320574501792]
[0.002167720679057128, 0.010311320574501792]
[0.0015771989130570763, 0.010257874861937966]
